word_id,Topic,Topic_Frequency
8424,0,0.00021399025
8424,1,0.0012257358
8424,2,0.00070310646
8424,3,0.00015188658
8424,4,0.0002696639
8424,5,0.00019491541
8424,6,0.00051432085
8424,7,0.00070641027
8424,8,0.0018739908
8424,9,1.3031658e-05
10591,0,0.0023103475
10591,1,0.00015431244
10591,2,0.00091897085
10591,3,0.00092069234
10591,4,0.0020973755
10591,5,0.00060238276
10591,6,0.0003389925
10591,7,0.0008395565
10591,8,0.00032750797
10591,9,0.00020363338
3027,0,0.009531198
3027,1,0.00069500046
3027,2,0.005038194
3027,3,0.0030890636
3027,4,0.0026660827
3027,5,0.0025039846
3027,6,0.00088418456
3027,7,0.0021535044
3027,8,0.00081973756
3027,9,0.011539241
20359,0,0.0011134244
20359,1,0.00044080152
20359,2,0.0011909573
20359,3,0.0005190579
20359,4,0.0015877725
20359,5,0.00064662914
20359,6,0.00040006058
20359,7,0.0008402986
20359,8,0.00023056383
20359,9,0.00062281865
8053,0,2.1393156e-05
8053,2,3.0331346e-05
8053,3,3.7102964e-05
8053,4,6.272777e-05
8053,5,0.00043962747
8053,7,7.911533e-05
8053,8,3.5994024e-05
22433,0,0.0024006944
22433,1,0.0011957918
22433,2,0.0015772039
22433,3,0.0013536484
22433,4,0.0013123101
22433,5,0.00051667617
22433,6,0.0012576641
22433,7,0.0016625986
22433,8,0.002271855
22433,9,0.002338085
23004,4,0.00018012447
22968,3,2.8401013e-05
22968,4,0.0002902719
22115,0,2.1662885e-05
22115,1,1.535798e-08
22115,2,0.0002356698
22115,3,0.00030727172
22115,4,0.0010087916
22115,5,0.00018595907
22115,6,0.0002132627
22115,7,0.0004753747
22115,8,7.4658374e-08
4723,4,7.2400486e-05
21721,0,0.0006904792
21721,1,2.3824047e-08
21721,2,0.00035094208
21721,3,0.00028315512
21721,4,0.0002031093
21721,5,1.9634534e-05
21721,6,0.0009008406
21721,7,0.000291281
21721,8,0.0009245899
21721,9,6.908107e-05
8122,0,0.0016024049
8122,1,0.0023458016
8122,2,0.002653595
8122,3,0.0016579395
8122,4,0.0016653248
8122,5,0.0030898843
8122,6,0.0028193477
8122,7,0.0023326464
8122,8,0.002646116
8122,9,0.0066743763
4520,2,2.9897832e-05
4520,3,6.367684e-05
4520,4,0.00019037424
4520,5,1.4627057e-06
4520,7,5.0771276e-05
6777,0,0.013838773
6777,1,0.008769952
6777,2,0.021372022
6777,3,0.0090235695
6777,4,0.004154806
6777,5,0.012556447
6777,6,0.0060030073
6777,7,0.0070985444
6777,8,0.011135051
6777,9,0.012519845
23240,0,0.00017670356
23240,3,1.3960802e-06
23240,4,0.00012402415
23240,5,9.57605e-05
23240,6,0.00010738751
23240,7,4.2609565e-05
4721,0,8.034662e-06
4721,1,1.460302e-07
4721,2,0.00035037825
4721,3,0.0008491759
4721,4,0.00027471257
4721,5,0.0009174209
4721,6,0.001113364
4721,7,0.00070915074
4721,8,0.0005130183
4721,9,3.0391902e-08
19722,0,0.0013604272
19722,1,0.00041400327
19722,2,0.0025814034
19722,3,0.0014557963
19722,4,0.00047199026
19722,5,0.0010340187
19722,6,0.0015132639
19722,7,0.0011561579
19722,8,0.0011027413
19722,9,0.0013140646
21981,0,0.0016632734
21981,1,7.1572515e-08
21981,2,7.924607e-08
21981,3,4.6152403e-05
21981,4,0.00012888221
21981,5,0.0001672141
21981,6,0.00011234191
21981,7,0.00050197414
21981,8,8.5943684e-05
21981,9,1.1136159e-08
11563,4,7.241982e-05
14553,0,0.0038444828
14553,1,0.0016173787
14553,2,0.0026153552
14553,3,0.002027513
14553,4,0.0022167831
14553,5,0.002556512
14553,6,0.0032400244
14553,7,0.0030276752
14553,8,0.002908706
14553,9,0.0033010733
4813,0,1.5207419e-05
4813,3,9.519251e-05
4813,4,0.00017728556
4813,5,3.768082e-05
4813,7,5.700257e-05
4813,8,0.00013407215
4724,0,0.00014153146
4724,1,0.00055628316
4724,2,5.847362e-05
4724,3,0.00011302602
4724,4,0.00029476095
4724,5,0.00030027603
4724,6,9.5404735e-05
4724,7,0.000114090675
4724,8,3.088972e-05
12403,4,7.241982e-05
23672,2,7.613549e-05
23672,3,7.514328e-05
23672,4,0.00026715206
23672,6,6.9877683e-06
23672,7,6.509873e-05
23672,8,6.025714e-07
17771,4,7.246521e-05
17771,7,1.8050992e-05
10883,0,0.0004265224
10883,1,2.6999646e-07
10883,2,0.0003824137
10883,3,0.0001959216
10883,4,0.0011090878
10883,5,9.547718e-05
10883,6,5.8223493e-05
10883,7,0.00047047582
10883,8,0.00022356265
10883,9,6.621564e-05
4722,4,7.2424446e-05
18611,0,0.013035034
18611,1,0.003219351
18611,2,0.0046040807
18611,3,0.0118509345
18611,4,0.004973783
18611,5,0.0023312287
18611,6,0.009457562
18611,7,0.009733139
18611,8,0.008610921
18611,9,0.0039375518
17309,0,0.0005491158
17309,1,1.9348406e-07
17309,2,0.00035637993
17309,3,0.0010901169
17309,4,0.0004620922
17309,5,0.0002371192
17309,6,0.0024530536
17309,7,0.0008395525
17309,8,0.0010700093
17309,9,4.2592137e-07
5600,0,1.6899952e-06
5600,2,7.571553e-05
5600,4,6.786203e-05
5600,6,0.00022806812
5600,7,2.763932e-05
19214,0,0.00029982335
19214,1,0.0010815315
19214,2,0.0007710984
19214,3,0.0003452152
19214,4,0.0013554505
19214,5,0.00034744607
19214,6,0.0019644445
19214,7,0.0015798911
19214,8,9.5622796e-05
19214,9,0.0007217357
12831,0,0.0012023603
12831,1,0.00060040946
12831,2,0.0010197196
12831,3,0.00071552664
12831,4,0.0008647451
12831,5,0.0003514602
12831,6,0.0016242169
12831,7,0.0015726776
12831,8,0.0013089053
12831,9,0.0016323724
17012,0,0.0012236602
17012,1,0.0004881113
17012,2,0.0013718093
17012,3,0.0012275237
17012,4,0.0012782506
17012,5,0.00010208392
17012,6,0.0010344601
17012,7,0.0019185583
17012,8,0.0012072722
17012,9,1.4067247e-05
13822,0,0.00089122687
13822,1,1.9596119e-08
13822,2,0.0006302456
13822,3,7.424242e-05
13822,4,1.0877418e-05
13822,5,0.0013745601
13822,6,0.00021197635
13822,7,0.00022745994
13822,9,0.0003924904
8395,0,3.3454458e-07
8395,1,1.0879061e-08
8395,2,0.00045306009
8395,3,0.00041683952
8395,4,0.0008742591
8395,5,9.8105935e-05
8395,6,0.000832402
8395,7,0.00016490984
8395,8,0.00012698842
8395,9,1.60298e-08
8598,0,0.0006850751
8598,1,0.00051518827
8598,2,0.0005700271
8598,3,0.0017410894
8598,4,0.0007598114
8598,5,0.00010597215
8598,6,0.0004076905
8598,7,0.0010131963
8598,8,0.0015425255
8598,9,0.00037300488
21212,0,0.0004181243
21212,1,1.3195554e-06
21212,2,0.0001594786
21212,3,0.00056942995
21212,4,0.0005380676
21212,5,9.128595e-05
21212,6,0.00054028403
21212,7,0.000620732
21212,8,0.00087872817
21212,9,0.0002811454
15845,0,0.001283394
15845,1,3.3792716e-07
15845,2,0.0013699508
15845,3,0.00074445654
15845,4,0.0006171232
15845,5,0.00023433923
15845,6,0.00084549346
15845,7,0.0010518428
15845,8,0.0010763374
15845,9,0.0008172225
4727,4,7.241892e-05
9367,4,7.241409e-05
6994,4,7.241202e-05
10152,4,7.242148e-05
537,0,1.8017954e-05
537,2,0.00015831209
537,3,0.00058462715
537,4,9.733922e-05
537,5,0.00015258302
537,7,0.00014284517
537,9,1.228342e-08
10173,4,7.2523704e-05
10173,6,2.6410247e-05
5193,4,7.242321e-05
15414,2,1.957844e-05
15414,4,7.0978196e-05
15414,7,8.0330865e-05
5905,0,2.726188e-05
5905,2,1.4005991e-05
5905,3,0.00015090333
5905,4,7.134568e-05
5905,7,1.0436816e-05
18188,4,7.2411945e-05
5772,0,0.0006228709
5772,1,0.001082932
5772,2,0.00035747356
5772,3,0.00034407797
5772,4,0.00040402473
5772,5,2.4182233e-05
5772,6,0.00028938358
5772,7,0.0003962561
5772,8,5.1423864e-05
5772,9,0.00011027466
10604,4,7.240767e-05
11431,0,3.463245e-05
11431,1,1.1511968e-08
11431,2,0.00014159505
11431,3,0.00054255954
11431,4,0.0005239055
11431,5,1.2372633e-08
11431,7,0.00025422123
